,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.01270111767.07,8.0,0.0,0.0
ur.0734027552.04,8.0,0.0,0.0
ur.0776155260.05,8.0,0.0,0.0
ur.0730655413.45,37.0,0.0019582066661189184,0.001780187878289926
ur.012301720107.79,60.0,0.0003286500698381399,0.0003697313285679074
ur.0663765134.38,60.0,0.0003286500698381399,0.0003834250814778299
ur.01344661677.25,80.0,0.004012269602607262,0.0036425382740393605
ur.0704523510.06,29.0,5.4775011639689975e-05,0.0
ur.012431462447.03,29.0,2.7387505819844987e-05,5.4775011639689975e-05
ur.01033673564.07,14.0,0.0,0.0
ur.0775500116.53,35.0,2.7387505819844987e-05,2.7387505819844987e-05
ur.012351166717.70,74.0,0.0020951441952181413,0.0019582066661189184
ur.01262747252.00,14.0,0.0,0.0
ur.011247421517.85,53.0,0.00049297510475721,0.00042450634020759745
ur.0647506063.08,58.0,0.002779831840714256,0.0029441568756333235
ur.01211447140.05,31.0,2.7387505819844987e-05,4.108125872976748e-05
ur.0722235176.07,45.0,0.00015063128200914743,0.00015063128200914743
ur.01357013615.71,29.0,8.216251745953497e-05,0.0
ur.01000213534.23,60.0,0.000465587598937365,0.00023279379946868233
ur.0621200426.94,15.0,4.108125872976748e-05,5.4775011639689975e-05
ur.01273714407.46,5.0,0.0,0.0
ur.01036301156.90,5.0,0.0,0.0
ur.01352455761.32,34.0,4.108125872976748e-05,8.216251745953497e-05
ur.016122312437.59,66.0,0.0008490126804151952,0.0007668501629556602
ur.01215047351.58,5.0,0.0,0.0
ur.0622334005.28,1.0,0.0,0.0
ur.0715340111.44,1.0,0.0,0.0
ur.0772154316.47,0.0,0.0,0.0
ur.01007202406.15,20.0,4.108125872976748e-05,1.3693752909922494e-05
ur.0650364105.62,3.0,0.0,0.0
ur.01137177503.26,3.0,0.0,0.0
ur.016372371622.23,3.0,0.0,0.0
ur.01247312304.95,3.0,0.0,0.0
ur.01221326713.13,36.0,0.0013146002793525606,0.001081806479883878
ur.016656703072.20,86.0,0.005984170021636073,0.00531317612904988
ur.0640306031.19,2.0,0.0,0.0
ur.016126433357.97,82.0,0.003847944567688195,0.003889025826417962
ur.01161250642.42,105.0,0.0018486566428395385,0.001807575384109771
ur.01210165200.66,5.0,0.0,0.0
ur.0744541563.46,5.0,0.0,0.0
ur.0757612601.02,5.0,0.0,0.0
ur.012106327417.02,5.0,0.0,0.0
ur.01364700600.00,23.0,0.0012598252677128705,0.0012598252677128705
ur.01141270403.71,5.0,0.0,0.0
ur.01044517621.97,27.0,0.0008079314216854277,0.0008079314216854277
ur.0662156021.60,5.0,0.0,0.0
ur.0705006340.54,22.0,0.00013693752909922494,0.0003286500698381399
ur.0660414117.47,5.0,0.0,0.0
ur.01236237614.00,3.0,0.0,0.0
ur.01212441452.79,3.0,0.0,0.0
ur.01340466000.03,3.0,0.0,0.0
ur.0627062114.54,23.0,0.00027387505819844983,0.00015063128200914743
ur.01025133334.12,7.0,0.0,1.3693752909922494e-05
ur.0767472231.27,5.0,4.108125872976748e-05,2.7387505819844987e-05
ur.01361773775.04,4.0,0.0,0.0
ur.01225763272.18,19.0,0.0010544189740640329,0.001163968997343413
ur.0774030701.20,13.0,0.0009448689507846528,0.0010544189740640329
ur.01240161764.24,2.0,0.0,0.0
ur.0672674440.42,2.0,0.0,0.0
ur.016674033035.29,2.0,0.0,0.0
ur.01137070070.56,90.0,0.004135513378796563,0.0037383945444088166
ur.01033431411.05,29.0,0.0,0.0
ur.01036420417.08,73.0,0.0003423438227480624,0.00027387505819844983
ur.01050627227.14,4.0,0.0,0.0
ur.01210400311.33,4.0,0.0,0.0
ur.01033115570.02,9.0,0.0,1.3693752909922494e-05
ur.015313027357.83,39.0,0.0010681127269739554,0.001136581491523568
ur.01246611067.81,2.0,0.0,0.0
ur.01015130571.33,39.0,0.0024785692766959655,0.002122531701037986
ur.01137241437.62,11.0,0.00019171254073891488,0.00021910004655875984
ur.015675414502.65,54.0,0.0018486566428395385,0.001985594171938763
ur.01072337557.40,7.0,0.0,0.0
ur.012704144624.23,7.0,0.0,0.0
ur.0601264174.47,57.0,0.0006709938925862026,0.0008216251745953502
ur.014023767112.77,7.0,0.0,0.0
