,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.013326707677.69,0.0,0.0,0.0
ur.01231555541.81,2.0,0.0,0.0
ur.014243277455.66,9.0,1.3693752909922494e-05,4.108125872976748e-05
ur.01055021575.17,2.0,0.0,0.0
ur.01225237777.42,3.0,0.0,0.0
ur.01201050167.87,3.0,0.0,0.0
ur.01023506776.14,3.0,0.0,0.0
ur.01366632353.34,3.0,0.0,0.0
ur.01013121516.75,0.0,0.0,0.0
ur.016262313227.63,0.0,0.0,0.0
ur.0752713776.93,2.0,6.846876454961247e-05,2.7387505819844987e-05
ur.016651444114.11,6.0,0.0008764001862350402,0.00060252512803659
ur.01077126133.11,90.0,0.003889025826417962,0.0033275819571111477
ur.01052525055.52,15.0,0.00021910004655875984,0.0001780187878289924
ur.01037411135.46,0.0,0.0,0.0
ur.0744500276.26,2.0,0.0,0.0
ur.012427617522.84,7.0,0.0,0.0
ur.0661420277.42,2.0,0.0,0.0
ur.010113074200.18,8.0,0.0,0.0
ur.01076760327.36,8.0,0.0,0.0
ur.016600715277.63,8.0,0.0,0.0
ur.0642237527.98,8.0,0.0,0.0
ur.07526132427.43,8.0,0.0,0.0
ur.01366740145.78,8.0,0.0,0.0
ur.0733724071.23,8.0,0.0,0.0
ur.0626625360.85,11.0,0.0003697313285679074,0.0003423438227480624
ur.01011420761.46,8.0,0.0,0.0
ur.0752211167.41,3.0,0.0,0.0
ur.01020305203.30,3.0,0.0,0.0
ur.0776366625.96,3.0,0.0,0.0
ur.0661425022.86,3.0,0.0,0.0
ur.07574530034.38,2.0,0.0,0.0
ur.01353146037.76,3.0,0.0,0.0
ur.01335423455.50,3.0,0.0,0.0
ur.01256244254.21,0.0,0.0,0.0
ur.012563666705.87,2.0,0.0,0.0
ur.0735164111.73,1.0,0.0,0.0
ur.0664653225.97,6.0,0.0,0.0
ur.0640761653.38,54.0,0.0023279379946868203,0.0022046942184975197
ur.01066531062.70,11.0,0.0,0.0
ur.01317206062.29,11.0,0.0,0.0
ur.01314023714.97,11.0,0.0,0.0
ur.01123370571.19,0.0,0.0,0.0
ur.01163141107.92,11.0,0.0,0.0
ur.0705717164.41,11.0,0.0,0.0
ur.01004614224.05,11.0,0.0,0.0
ur.0740405645.32,12.0,0.0,0.0
ur.01000577307.99,11.0,0.0,0.0
ur.0777375624.86,11.0,0.0,0.0
ur.0756143562.85,11.0,0.0,0.0
ur.01165672400.01,11.0,0.0,0.0
ur.0731617446.95,11.0,0.0,0.0
ur.01076536522.42,13.0,0.00015063128200914743,0.00010955002327937996
ur.01302740775.11,6.0,0.0,0.0
ur.0733231075.50,6.0,0.0,0.0
ur.01326462665.97,11.0,6.846876454961247e-05,2.7387505819844987e-05
ur.01121634211.20,26.0,0.000575137622216745,0.0006709938925862026
ur.01204331303.05,25.0,0.0005066688576671325,0.0007120751513159701
ur.01300333311.66,6.0,0.0,0.0
ur.0656254025.20,5.0,0.0,0.0
ur.01103067725.17,5.0,0.0,0.0
ur.07632511762.54,34.0,0.0002601813052885273,0.00012324377618930246
ur.01055735377.31,27.0,0.00028756881110837234,0.0002464875523786048
ur.016212557162.08,51.0,0.0006983813984060476,0.0007942376687755052
ur.0666646470.70,30.0,0.0007531564100457376,0.0005614438693068225
ur.0764244663.40,0.0,0.0,0.0
ur.01351467124.57,0.0,0.0,0.0
ur.01360306041.25,28.0,0.0006573001396762801,0.0005340563634869775
ur.01025667224.98,2.0,0.0,0.0
ur.0636054062.43,2.0,0.0,0.0
ur.01035252432.39,2.0,0.0,0.0
ur.0766131367.86,2.0,0.0,0.0
ur.01123412741.26,0.0,0.0,0.0
ur.0761341222.68,0.0,0.0,0.0
ur.0662103732.48,0.0,0.0,0.0
ur.01241062777.01,0.0,0.0,0.0
ur.0720615314.99,13.0,6.846876454961247e-05,4.108125872976748e-05
ur.0700536755.02,110.0,0.001081806479883878,0.001109193985703723
ur.0632455551.18,4.0,4.108125872976748e-05,1.3693752909922494e-05
ur.010244615007.38,1.0,0.0,0.0
ur.0736400004.31,7.0,2.7387505819844987e-05,8.216251745953497e-05
ur.0601116252.61,0.0,0.0,0.0
ur.0675461762.55,112.0,0.010119683400432606,0.009804727083504394
ur.016477645037.38,54.0,0.0013556815380823281,0.0014652315613617082
ur.01210076714.41,42.0,0.0010407252211541104,0.0010407252211541104
ur.011452443377.35,1.0,0.0,0.0
ur.015636005672.67,16.0,2.7387505819844987e-05,1.3693752909922494e-05
ur.01167576736.70,1.0,0.0,0.0
ur.01366522556.38,25.0,0.00045189384602744247,0.00049297510475721
ur.01155730640.24,2.0,0.0,0.0
ur.01030555036.24,2.0,0.0,0.0
ur.01306674424.96,20.0,0.0005066688576671325,0.0005340563634869775
ur.010104301427.83,1.0,0.0,0.0
ur.0624433122.56,1.0,0.0,0.0
ur.0712645702.33,8.0,0.0,0.0
ur.0777623254.34,46.0,0.0006436063867663576,0.0005340563634869775
