,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.0623411026.57,16.0,0.0,0.0
ur.0723373516.25,12.0,0.0,0.0
ur.01307714565.96,12.0,0.0,0.0
ur.0671524226.89,16.0,0.0,0.0
ur.01010106205.48,12.0,0.0,0.0
ur.0676554513.52,12.0,0.0,0.0
ur.01241225172.32,12.0,0.0,0.0
ur.01277476523.37,12.0,0.0,0.0
ur.0776666573.64,12.0,0.0,0.0
ur.07706426422.26,12.0,0.0,0.0
ur.01122725670.71,16.0,0.0,0.0
ur.01020112256.16,10.0,0.0,0.0
ur.01063134120.10,10.0,0.0,0.0
ur.0727322673.10,60.0,0.0023416317475967426,0.0025744255470654216
ur.01074531067.96,10.0,0.0,0.0
ur.01042420707.22,10.0,0.0,0.0
ur.01126610021.06,10.0,0.0,0.0
ur.01342037242.53,10.0,0.0,0.0
ur.01204524115.35,10.0,0.0,0.0
ur.013217304202.70,29.0,0.0016432503491907008,0.001862350395749461
ur.01326031522.43,10.0,0.0,0.0
ur.01360171526.36,75.0,0.0031769506751020025,0.003300194451291303
ur.010075527747.04,11.0,0.0,0.0
ur.01123013456.55,20.0,0.0,0.0
ur.01165527564.99,34.0,0.0,0.0
ur.01307303701.03,11.0,0.0,0.0
ur.0771616775.22,11.0,0.0,0.0
ur.01331020327.41,20.0,0.0,0.0
ur.01166515440.51,11.0,0.0,0.0
ur.0742111630.43,11.0,0.0,0.0
ur.0777100556.94,11.0,0.0,0.0
ur.0666111400.93,11.0,0.0,0.0
ur.013126312412.30,11.0,0.0,0.0
ur.011652432657.54,43.0,0.0,0.0
ur.0772310510.90,12.0,0.0,0.0
ur.01030613430.23,12.0,0.0,0.0
ur.0630552711.19,12.0,0.0,0.0
ur.0616106671.86,12.0,0.0,0.0
ur.01022734565.31,12.0,0.0,0.0
ur.0645367663.45,12.0,0.0,0.0
ur.01136613325.88,12.0,0.0,0.0
ur.01046417145.42,12.0,0.0,0.0
ur.01366611316.49,12.0,0.0,0.0
ur.01102074216.33,12.0,0.0,0.0
ur.01150207416.90,12.0,0.0,0.0
ur.01362507406.36,12.0,0.0,0.0
ur.01231473232.41,12.0,0.0,0.0
