,Degree Centrality,Closeness Centrality,Betweenness Centrality
ur.01326626320.31,9.0,0.0,0.0
ur.011104272772.00,9.0,0.0,0.0
ur.01003447206.41,9.0,9.585627036945747e-05,9.585627036945747e-05
ur.014206425342.08,0.0,0.0,0.0
ur.01250104703.51,8.0,0.0,0.0
ur.01305367660.22,16.0,2.7387505819844987e-05,0.00015063128200914743
ur.01272211677.60,9.0,6.846876454961247e-05,4.108125872976748e-05
ur.01112146745.44,8.0,0.0,0.0
ur.012415446212.58,9.0,8.216251745953497e-05,8.216251745953497e-05
ur.01172332757.05,8.0,0.0,0.0
ur.01024002741.43,8.0,0.0,0.0
ur.011457770737.29,16.0,9.585627036945747e-05,8.216251745953497e-05
ur.01350547047.08,16.0,0.00021910004655875984,0.0001780187878289924
ur.01330241252.13,5.0,0.0,0.0
ur.010543561322.34,1.0,0.0,0.0
ur.01064320514.03,12.0,0.0,0.0
ur.01112564510.34,43.0,0.0003286500698381399,0.00042450634020759745
ur.011307355237.25,19.0,0.0,0.0
ur.01160117776.55,82.0,0.0,0.0
ur.01234131722.56,104.0,0.0005066688576671325,0.0006162188809465125
ur.01337410270.31,13.0,0.0,0.0
ur.01121401621.98,11.0,5.4775011639689975e-05,2.7387505819844987e-05
ur.01043467515.05,10.0,0.0,0.0
ur.016042544552.05,11.0,1.3693752909922494e-05,0.0
ur.01161025732.36,4.0,0.0,0.0
ur.01023145772.77,39.0,0.0,2.7387505819844987e-05
ur.0732632343.31,35.0,1.3693752909922494e-05,1.3693752909922494e-05
ur.0666103426.40,60.0,0.00031495631692821736,0.00021910004655875984
ur.01132547273.70,2.0,0.0,0.0
ur.010547477174.50,2.0,0.0,0.0
ur.01206010543.40,16.0,5.4775011639689975e-05,8.216251745953497e-05
ur.0651637566.06,6.0,0.0,0.0
ur.01271416774.92,6.0,0.0,0.0
ur.01033162764.65,48.0,0.0014652315613617082,0.0018486566428395385
ur.01155204310.51,76.0,0.0016706378550105459,0.0016295565962807783
ur.0660552542.09,16.0,4.108125872976748e-05,4.108125872976748e-05
ur.0621325067.32,28.0,0.00010955002327937996,4.108125872976748e-05
ur.01315746111.37,11.0,1.3693752909922494e-05,1.3693752909922494e-05
ur.0764650404.65,10.0,0.0,0.0
ur.01117706755.05,444.0,0.0006162188809465125,0.0006709938925862026
ur.016121557502.19,150.0,5.4775011639689975e-05,9.585627036945747e-05
ur.01076714274.84,5.0,0.00010955002327937996,0.00010955002327937996
ur.01102555374.81,3.0,5.4775011639689975e-05,2.7387505819844987e-05
ur.01201675307.59,7.0,0.0,0.0
ur.01213271364.13,17.0,8.216251745953497e-05,5.4775011639689975e-05
ur.01070077056.80,1.0,0.0,0.0
ur.01315402031.55,1.0,0.0,0.0
ur.013145671557.48,23.0,0.00015063128200914743,0.00023279379946868233
ur.010614542757.18,1.0,0.0,0.0
ur.01127004325.11,1.0,0.0,0.0
ur.0765010542.14,0.0,0.0,0.0
ur.01112442360.95,0.0,0.0,0.0
ur.0724756602.46,4.0,0.0,0.0
ur.0757511556.26,4.0,0.0,0.0
ur.011655403044.12,4.0,0.0,0.0
ur.01073740156.14,4.0,0.0,0.0
ur.01154413774.34,16.0,0.00010955002327937996,0.00010955002327937996
ur.0676575414.24,2.0,0.0,0.0
ur.01013024014.33,2.0,0.0,0.0
ur.01114222321.24,26.0,0.00021910004655875984,0.00020540629364883736
ur.01242207604.07,0.0,0.0,0.0
ur.01260560206.20,10.0,1.3693752909922494e-05,0.0
ur.0775572157.47,3.0,0.0,0.0
ur.01165475353.00,18.0,9.585627036945747e-05,0.00012324377618930246
ur.016626373662.28,17.0,0.0,0.0
ur.016212557162.08,69.0,0.00020540629364883736,0.00013693752909922494
ur.01330522663.88,11.0,0.0,0.0
ur.01364763323.89,7.0,0.0,0.0
ur.010150711677.16,7.0,0.0,0.0
ur.07360400612.51,7.0,0.0,0.0
ur.0723402275.58,33.0,0.0,0.0
ur.0666646470.70,212.0,0.002916769369813479,0.002451181770876121
ur.01221746150.42,3.0,0.0,0.0
ur.01306437547.63,2.0,0.0,0.0
ur.014037465457.11,33.0,0.0003423438227480624,0.00031495631692821736
ur.0654035147.87,6.0,0.0,0.0
ur.01320037002.05,11.0,8.216251745953497e-05,0.00012324377618930246
ur.0725020131.22,1.0,0.0,0.0
ur.01151070115.76,56.0,0.0006162188809465125,0.0005477501163969
ur.01360415133.08,32.0,1.3693752909922494e-05,0.0
ur.01042324506.35,29.0,8.216251745953497e-05,9.585627036945747e-05
ur.01355360320.68,91.0,0.0010133377153342654,0.0012050502560731805
ur.01013300211.84,49.0,0.00019171254073891488,0.0001643250349190699
ur.01041564372.41,152.0,0.004888669788842289,0.004779119765562911
ur.01033472347.68,10.0,0.0,0.0
ur.01135437347.09,30.0,0.000465587598937365,0.00023279379946868233
ur.07621357767.73,27.0,0.0,4.108125872976748e-05
ur.015512316557.12,32.0,5.4775011639689975e-05,8.216251745953497e-05
ur.01175642011.84,361.0,0.0062991263385642855,0.0059293950099963836
ur.0727541446.30,1.0,0.0,0.0
ur.014320423744.20,1.0,0.0,0.0
ur.01022471462.91,44.0,0.0012598252677128705,0.0016158628433708558
ur.016027031251.09,24.0,0.0005066688576671325,0.0007394626571358151
ur.010602675717.19,3.0,0.0,0.0
ur.07677636131.39,3.0,0.0,0.0
ur.0701666501.53,4.0,4.108125872976748e-05,2.7387505819844987e-05
