,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC
0,5040,263,0.052182539682539685,4777,0,113190.20355073821,67.07281746031747,0.11146418594099002
1,27,1,0.037037037037037035,26,0,58237.55065523906,17.555555555555557,0.09145296007393001
2,19,0,0.0,19,0,13251.346683827336,37.8421052631579,0.11181833915992685
3,50,4,0.08,46,0,214010.65306604933,20.98,0.12629425595253257
4,25,0,0.0,25,0,21226.367074212845,18.08,0.09422767484247432
5,34,3,0.08823529411764706,31,0,71693.26106225146,19.852941176470587,0.10249783877032129
6,43,3,0.06976744186046512,40,0,33436.87730728262,16.093023255813954,0.09258181045329898
7,29,2,0.06896551724137931,27,0,936.9716880074197,16.896551724137932,0.07889338805353971
8,35,2,0.05714285714285714,33,0,148941.7617142715,204.28571428571428,0.11354786100810421
9,42,3,0.07142857142857142,39,0,258647.1994880605,18.904761904761905,0.09808114680107785
10,30,1,0.03333333333333333,29,0,67480.45599356547,21.366666666666667,0.11596231455785352
11,41,2,0.04878048780487805,39,0,47148.75532151944,14.804878048780488,0.09461451630890078
12,15,1,0.06666666666666667,14,0,56944.676612008014,21.2,0.10623465078867503
13,22,2,0.09090909090909091,20,0,123097.71347179894,23.681818181818183,0.08261795550217789
14,33,1,0.030303030303030304,32,0,76059.72495677197,40.54545454545455,0.07853985346003006
15,31,3,0.0967741935483871,28,0,17687.94439998854,26.580645161290324,0.09999833811886012
16,25,0,0.0,25,0,267819.90008000506,59.2,0.09485025181642653
17,14,0,0.0,14,0,1514.2012287611585,83.42857142857143,0.10457523544192322
18,40,2,0.05,38,0,350988.63432915055,20.225,0.0959272569960934
19,19,1,0.05263157894736842,18,0,456.80797473107333,24.42105263157895,0.11235605394980212
20,11,0,0.0,11,0,0.0,34.63636363636363,0.11406822236265354
21,23,1,0.043478260869565216,22,0,8684.379829934365,16.0,0.09705529342885744
22,11,1,0.09090909090909091,10,0,27040.886831434444,634.8181818181819,0.14480200021927128
23,40,3,0.075,37,0,163451.20123232907,50.875,0.09665914207028965
24,128,3,0.0234375,125,0,129419.99187851786,23.2109375,0.09411760639365996
25,15,0,0.0,15,0,39521.08894658966,16.6,0.1382056301879146
26,15,1,0.06666666666666667,14,0,512217.04968317586,37.13333333333333,0.13789446414009257
27,38,1,0.02631578947368421,37,0,1495.2557439248887,580.0263157894736,0.15014921014095264
28,14,2,0.14285714285714285,12,0,0.0,16.285714285714285,0.10759221934461789
29,23,1,0.043478260869565216,22,0,270890.01853411103,34.04347826086956,0.11656533386504642
30,30,0,0.0,30,0,78580.83991623431,12.533333333333333,0.12337194782956924
31,23,1,0.043478260869565216,22,0,58549.69199101285,25.130434782608695,0.10375777085354816
32,11,0,0.0,11,0,87605.37352936815,118.18181818181819,0.14673276297257984
33,24,0,0.0,24,0,156888.0280654682,30.041666666666668,0.10653292349742473
34,25,2,0.08,23,0,542.4495776807104,22.76,0.1389755670517924
35,40,2,0.05,38,0,59489.891054554006,24.475,0.10033437634443176
36,41,3,0.07317073170731707,38,0,804548.8281742992,27.75609756097561,0.10978672240245066
37,15,1,0.06666666666666667,14,0,59589.296590339865,32.93333333333333,0.10479500481294436
38,13,0,0.0,13,0,8568.878869394635,12.307692307692308,0.08931559779493939
39,21,2,0.09523809523809523,19,0,6410.115790764923,19.904761904761905,0.09760231061724103
40,21,1,0.047619047619047616,20,0,170652.22125948264,17.761904761904763,0.10080777268949619
41,12,0,0.0,12,0,12536.249999999995,15.0,0.09654741961569012
42,22,0,0.0,22,0,11920.939576700119,17.545454545454547,0.086580931366832
43,34,2,0.058823529411764705,32,0,487074.54121654405,43.64705882352941,0.09506700780896794
44,17,1,0.058823529411764705,16,0,107087.43751230229,30.88235294117647,0.09152801342834581
45,13,1,0.07692307692307693,12,0,0.0,28.076923076923077,0.11210092595093274
46,34,3,0.08823529411764706,31,0,107423.39091549785,15.588235294117647,0.10233758069431322
47,18,3,0.16666666666666666,15,0,5113.78379192395,13.666666666666666,0.11950964572045963
48,15,3,0.2,12,0,85186.65269094646,16.133333333333333,0.10500734867082244
49,14,0,0.0,14,0,994050.5424443464,96.5,0.11013991631264565
50,14,0,0.0,14,0,96177.20999348974,30.142857142857142,0.09149967449434793
51,25,2,0.08,23,0,1276.7639929281502,635.6,0.1532222814018283
52,24,3,0.125,21,0,5785.197615280177,27.458333333333332,0.09304541376461772
53,24,1,0.041666666666666664,23,0,98300.3273924216,35.708333333333336,0.1127874018002361
54,21,0,0.0,21,0,12361.985490472342,8.238095238095237,0.10314439723447438
55,22,0,0.0,22,0,116394.67674765359,18.545454545454547,0.12064001223002041
56,26,1,0.038461538461538464,25,0,151352.82443940116,15.23076923076923,0.13125654030917666
57,15,0,0.0,15,0,0.0,9.4,0.10568963191204284
58,13,0,0.0,13,0,22838.538775408066,25.0,0.09390430877960483
59,47,2,0.0425531914893617,45,0,80359.68494276992,51.4468085106383,0.10179006093433836
60,27,3,0.1111111111111111,24,0,53486.9305919415,22.666666666666668,0.10607664228676461
61,21,1,0.047619047619047616,20,0,74069.33384503971,26.19047619047619,0.0997793092591165
62,11,1,0.09090909090909091,10,0,1509.3630670888,10.545454545454545,0.09059392582292634
63,19,0,0.0,19,0,69817.91217829478,11.210526315789474,0.08835859684508
64,15,3,0.2,12,0,0.0,16.266666666666666,0.12608424275424174
65,47,3,0.06382978723404255,44,0,237052.59019804397,18.27659574468085,0.1113026906628156
66,18,2,0.1111111111111111,16,0,5.6287411104186775,19.11111111111111,0.10054746648612553
