,total,LMICs,LMICs_perc,HICs,Unknown,Avg BC,Avg DC,Avg CC,Min BC,Min DC,Min CC,Max BC,Max DC,Max CC
0,3203,268,0.0836715579144552,2935,0,103695.38825861063,13.867624102403996,0.06054912303523754,0.0,0.0,0.0,13691025.10817889,162.0,0.13908581428062444
1,17,1,0.058823529411764705,16,0,377401.8768520152,12.176470588235293,0.053715859946677644,0.0,0.0,0.0,4576279.431408919,35.0,0.11960042277186483
2,14,1,0.07142857142857142,13,0,116361.2999518361,12.714285714285714,0.06783615972462845,0.0,1.0,2.6780214777322515e-05,1535423.453207076,29.0,0.10538630045137708
3,12,0,0.0,12,0,48408.96741958914,15.666666666666666,0.07486579654387943,0.0,0.0,0.0,463263.69369103445,53.0,0.12974489855263446
4,32,5,0.15625,27,0,12239.175566320662,14.875,0.06482438442574628,0.0,0.0,0.0,379462.9171410977,37.0,0.11635348983102729
5,27,7,0.25925925925925924,20,0,5930.9221880082205,14.851851851851851,0.06584062501322291,0.0,0.0,0.0,134116.97033597686,42.0,0.1245325171512128
6,30,2,0.06666666666666667,28,0,241438.9677566463,19.6,0.06909043044423956,0.0,0.0,0.0,3276223.5979235144,112.0,0.1261598139741341
7,16,2,0.125,14,0,21424.333553517106,12.5625,0.054223142879796196,0.0,0.0,0.0,210906.0,31.0,0.12897111458209226
8,27,2,0.07407407407407407,25,0,24507.214604040862,24.11111111111111,0.07156593168820508,0.0,1.0,2.6780214777322515e-05,421852.0,112.0,0.12429955150288667
9,24,1,0.041666666666666664,23,0,188682.28435441165,10.166666666666666,0.04443612543087646,0.0,0.0,0.0,2945467.140696333,78.0,0.12662370413032084
10,26,3,0.11538461538461539,23,0,235904.87427241297,15.846153846153847,0.0732033907133532,0.0,0.0,0.0,5568666.891568409,85.0,0.12188207106057268
11,30,5,0.16666666666666666,25,0,8890.824606395614,11.533333333333333,0.06466922257159155,0.0,1.0,2.6780214777322515e-05,114829.7354354437,32.0,0.1158974514441686
12,34,1,0.029411764705882353,33,0,25024.367446560096,7.764705882352941,0.040300751359701785,0.0,0.0,0.0,452866.8974899432,78.0,0.12157191877807032
13,35,6,0.17142857142857143,29,0,4765.426119234071,11.771428571428572,0.06044438259065513,0.0,0.0,0.0,93768.0,53.0,0.1157497247759881
14,27,1,0.037037037037037035,26,0,245843.92802911208,18.22222222222222,0.07890054751391345,0.0,0.0,0.0,2389259.4144270592,82.0,0.1358209409145261
15,17,1,0.058823529411764705,16,0,0.031703590527119935,13.529411764705882,0.08037400847740445,0.0,1.0,2.6780214777322515e-05,0.5389610389610389,37.0,0.1245325171512128
16,23,0,0.0,23,0,143651.54224441916,10.130434782608695,0.059420498641357074,0.0,1.0,2.6780214777322515e-05,1732118.0,35.0,0.131598013093544
17,15,4,0.26666666666666666,11,0,0.05925925925925927,12.333333333333334,0.06307456101629953,0.0,0.0,0.0,0.8888888888888891,25.0,0.11476559825558365
18,14,3,0.21428571428571427,11,0,3965.4205908594604,12.071428571428571,0.06388978471580234,0.0,1.0,2.6780214777322515e-05,55515.349310993486,41.0,0.12431516586331766
19,33,4,0.12121212121212122,29,0,192993.5206202143,14.151515151515152,0.060045903958435724,0.0,0.0,0.0,5876147.542262788,112.0,0.12752143450904563
20,18,2,0.1111111111111111,16,0,62476.316349371366,12.666666666666666,0.046660530236998655,0.0,0.0,0.0,605052.75157345,49.0,0.11417977429465712
21,11,0,0.0,11,0,8749.040164933926,18.818181818181817,0.06677719873396976,0.0,2.0,5.356042955464503e-05,96118.10848093985,45.0,0.12027403189930848
22,30,2,0.06666666666666667,28,0,43326.19340637574,11.8,0.04815432817978852,0.0,1.0,2.6780214777322515e-05,652823.1729322892,35.0,0.11674778695143939
23,34,3,0.08823529411764706,31,0,48424.83143999129,8.705882352941176,0.0446389351575588,0.0,0.0,0.0,487928.0878482359,87.0,0.12371060541301111
24,21,2,0.09523809523809523,19,0,7993.80284382167,4.857142857142857,0.0339235073646132,0.0,0.0,0.0,84427.99216266074,36.0,0.10538790417275593
25,13,3,0.23076923076923078,10,0,31.489198447531827,12.538461538461538,0.05430664363969736,0.0,1.0,2.6780214777322515e-05,408.35957981791375,32.0,0.11342746064565631
26,22,3,0.13636363636363635,19,0,269963.11672525195,18.681818181818183,0.05935300934017462,0.0,0.0,0.0,4216836.130403403,112.0,0.1294313690915203
27,22,1,0.045454545454545456,21,0,37458.83523032581,13.181818181818182,0.06626198510311014,0.0,0.0,0.0,519583.8302635137,43.0,0.1221082362763023
28,31,0,0.0,31,0,410431.58086668036,15.129032258064516,0.06285274749345744,0.0,0.0,0.0,5057828.8268987425,75.0,0.12860712489738405
29,20,5,0.25,15,0,379678.17164540483,25.2,0.08465047549751771,0.0,0.0,0.0,2680425.095356531,100.0,0.13178683969234742
30,57,8,0.14035087719298245,49,0,648177.7712415035,15.929824561403509,0.07174113557554261,0.0,0.0,0.0,16444094.728819307,173.0,0.15004861497789787
31,36,2,0.05555555555555555,34,0,192850.29292474294,17.444444444444443,0.07042570188319425,0.0,1.0,2.6780214777322515e-05,2144143.4326179763,85.0,0.1252610259419075
32,21,2,0.09523809523809523,19,0,95963.53221241783,14.333333333333334,0.05380975208520377,0.0,0.0,0.0,1889949.375611515,57.0,0.1107689359014946
33,27,1,0.037037037037037035,26,0,312250.38147829624,15.296296296296296,0.05853300274118639,0.0,0.0,0.0,4341722.663062828,91.0,0.12390760393089319
34,12,2,0.16666666666666666,10,0,94646.51744394832,21.333333333333332,0.081995312175094,0.0,1.0,2.6780214777322515e-05,650387.8728859767,73.0,0.11969344634042407
