researcher_id,journal.title,aff_country_code,LMIC
ur.0605757634.24,PLOS,NG,2
ur.0605764443.79,PLOS,GB,1
ur.0605771007.21,PLOS,US,1
ur.0606025430.54,PLOS,AU,1
ur.0606065665.50,PLOS,RE,1
ur.0606067623.54,PLOS,GB,1
ur.0606072351.04,PLOS,GB,1
ur.0606114621.37,PLOS,US,1
ur.0606117164.28,PLOS,US,1
ur.0606140311.52,PLOS,US,1
ur.0606150140.07,PLOS,UG,2
ur.0606156600.63,PLOS,BR,2
ur.0606175446.97,PLOS,ZA,2
ur.0606205546.43,PLOS,GB,1
ur.0606215312.22,PLOS,IT,1
ur.0606216016.33,PLOS,US,1
ur.0606240470.44,PLOS,ES,1
ur.0606243130.02,PLOS,US,1
ur.0606266321.97,PLOS,AU,1
ur.0606307207.47,PLOS,US,1
ur.0606374613.69,PLOS,BE,1
ur.0606420406.59,PLOS,DE,1
ur.0606431101.31,PLOS,DK,1
ur.0606431731.44,PLOS,ES,1
ur.0606454262.70,PLOS,CN,2
ur.0606460434.76,PLOS,SE,1
ur.0606510703.09,PLOS,CA,1
ur.0606517056.65,PLOS,GB,1
ur.0606524162.32,PLOS,US,1
ur.0606540355.08,PLOS,AU,1
ur.0606550104.81,PLOS,GB,1
ur.0606557535.35,PLOS,CA,1
ur.0606605567.96,PLOS,US,1
ur.0606662663.07,PLOS,US,1
ur.0606701210.78,PLOS,DK,1
ur.0606704334.54,PLOS,GB,1
ur.0606725004.48,PLOS,CH,1
ur.0606754074.92,PLOS,SE,1
ur.0606773566.85,PLOS,DE,1
ur.0607020414.54,PLOS,US,1
ur.0607025115.41,PLOS,US,1
ur.0607043561.67,PLOS,GB,1
ur.0607075060.98,PLOS,CA,1
ur.0607116401.99,PLOS,IN,2
ur.0607135275.33,PLOS,US,1
ur.0607142441.25,PLOS,GB,1
ur.0607164171.38,PLOS,US,1
ur.0607206430.93,PLOS,FR,1
ur.0607217504.48,PLOS,SE,1
ur.0607227635.25,PLOS,US,1
ur.0607230626.27,PLOS,US,1
ur.0607232121.94,PLOS,IN,2
ur.0607245345.09,PLOS,US,1
ur.0607304430.19,PLOS,US,1
ur.0607320300.30,PLOS,GB,1
ur.0607321574.92,PLOS,AU,1
ur.0607340634.03,PLOS,US,1
ur.0607347051.07,PLOS,NL,1
ur.0607370541.04,PLOS,AU,1
ur.0607410671.95,PLOS,CH,1
ur.0607415420.24,PLOS,NL,1
