,total,total,Avg BC,Avg BC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
bc_bin,,,,,,,
q1,20.986641221374047,10997,0.0,16243.798702049851,16.66666666666666,9.803188415866657,0.18322566585499842
q2,21.56297709923664,11299,16258.386027462637,61487.65184850384,16.66666666666666,9.115853693922428,0.168086724169113
q3,22.482824427480917,11781,61497.31162401691,151605.97313054831,16.66666666666666,8.44102543967017,0.1524264034789317
q4,30.545801526717558,16006,151955.54513120014,6779270.029231262,16.66666666666666,8.056247932690727,0.12480945544600414
