,total,total,Avg BC,Avg BC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
bc_bin,,,,,,,
q1,17.963144963144963,7311,0.0,9804.1713255571,5.26315789473684,6.05414740299445,0.13877801461961953
q2,20.867321867321866,8493,9939.523648564991,58610.57318487661,5.55555555555555,5.451590049919135,0.11594411221260723
q3,22.74692874692875,9258,58873.35876934031,158710.6385039681,5.0,5.606102481018714,0.11419800464401277
q4,23.68796068796069,9641,159205.29695226118,2318730.089675981,5.0,5.468727793546703,0.10916447658610813
