,total,total,Avg BC,Avg BC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
bc_bin,,,,,,,
q1,23.60923076923077,7673,0.0,7234.000005850884,5.55555555555555,5.382973035379429,0.12044691380015192
q2,21.808641975308642,7066,7354.093028444195,37411.48878448702,5.26315789473684,6.09005690502374,0.14200073930396165
q3,29.555555555555557,9576,37494.184372819225,105726.95849889262,5.26315789473684,5.176944824498124,0.10369015865460114
q4,32.24923076923077,10481,106199.65915924706,4282696.895528452,5.0,4.821534071663405,0.09230812955909115
