,total,total,Avg BC,Avg BC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
bc_bin,,,,,,,
q1,18.35238095238095,3854,0.0,6405.304687393723,20.0,9.700865788620513,0.30627441031160624
q2,22.33492822966507,4668,6436.605756091688,27272.825898949275,18.75,10.315310422151745,0.2959190673545326
q3,21.31578947368421,4455,27391.7678448955,67389.27638220112,18.18181818181818,8.85018807588611,0.25988709652735625
q4,27.56937799043062,5762,67555.60115602451,715246.5393205633,20.0,8.545404440512199,0.22064905226547057
