,total,total,Avg BC,Avg BC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
bc_bin,,,,,,,
q1,29.453488372093023,7599,0.0,10133.119613286375,7.69230769230769,7.156547262459254,0.1609093916276894
q2,21.56420233463035,5542,10289.91705938774,31828.53782278984,8.0,6.948092750330774,0.18293146728969886
q3,39.159533073929964,10064,32068.30891445623,71886.9282920625,6.66666666666666,6.264489634269991,0.12239296400156156
q4,23.7015503875969,6115,72270.83281312551,1938870.4669336684,6.66666666666666,5.74357604627107,0.14395946243631502
