,total,total,Avg BC,Avg BC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
bc_bin,,,,,,,
q1,17.311897106109324,5384,0.0,7631.41036265135,8.33333333333333,7.907104466755633,0.21121318344466833
q2,31.29032258064516,9700,7735.7606990064,42100.25742513844,8.33333333333333,6.941311405293279,0.13813754476071052
q3,38.935483870967744,12070,42372.84956759221,116887.83514353567,7.846153846153845,5.972853079915585,0.10655756027976761
q4,22.532258064516128,6985,117064.6144854764,1916742.0251750357,8.33333333333333,6.534025112405377,0.15323348024583008
