,total,total,Avg DC,Avg DC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
dc_bin,,,,,,,
q1,20.87142857142857,4383,6.083333333333333,16.666666666666668,21.42857142857142,9.071319408137652,0.2685596703067348
q2,23.19138755980861,4847,16.666666666666668,20.73684210526316,20.0,8.889430946948313,0.250261199718037
q3,22.980861244019138,4803,20.76923076923077,27.08333333333333,19.23076923076923,10.077808325752251,0.28501378923921555
q4,22.516746411483254,4706,27.08695652173913,67.81818181818181,18.51851851851851,9.396587226344932,0.2684727797646493
