,total,total,Avg DC,Avg DC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
dc_bin,,,,,,,
q1,18.4031007751938,4748,2.4166666666666665,7.75,8.0,7.037108011845995,0.2001681305923486
q2,37.856031128404666,9729,7.777777777777778,9.863636363636363,7.395498392282949,6.768865606361202,0.13450482416327766
q3,34.4863813229572,8863,9.863636363636363,12.727272727272728,6.66666666666666,6.543741538716901,0.13623598439935558
q4,23.17829457364341,5980,12.75,38.0,6.66666666666666,5.71110507975292,0.14475235240189277
