,total,total,Avg DC,Avg DC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
dc_bin,,,,,,,
q1,23.49140049140049,9561,10.833333333333334,20.3,4.76190476190476,5.474623951038177,0.1097384205951823
q2,22.970515970515972,9349,20.307692307692307,23.392857142857142,5.26315789473684,5.080884643592822,0.10299421367590805
q3,20.665847665847664,8411,23.41176470588235,27.08695652173913,5.26315789473684,5.584203741563802,0.11934205452901109
q4,18.137592137592137,7382,27.11111111111111,49.4,5.55555555555555,6.371103124979163,0.1453395080057599
