,total,total,Avg DC,Avg DC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
dc_bin,,,,,,,
q1,22.38167938931298,11728,5.166666666666667,13.571428571428571,16.66666666666666,9.884834996590229,0.178901308448521
q2,22.326335877862597,11699,13.574074074074074,17.181818181818183,16.66666666666666,8.70290120773684,0.15770510592869472
q3,27.209923664122137,14258,17.1875,23.526315789473685,16.66666666666666,8.114503603124088,0.13319524578902714
q4,23.66030534351145,12398,23.53846153846154,145.92307692307693,17.192118226600982,8.73229554352044,0.15371232134597534
