,total,total,Avg DC,Avg DC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
dc_bin,,,,,,,
q1,19.950769230769232,6484,4.545454545454546,17.04,5.55555555555555,5.459796241106032,0.13289572276995035
q2,33.5462962962963,10869,17.0625,25.529411764705884,5.08620689655172,5.688499049463444,0.1069446261984942
q3,31.867283950617285,10325,25.545454545454547,66.16,5.06410256410256,5.0662070683508835,0.09772236698259126
q4,21.90153846153846,7118,66.16,800.6153846153846,5.55555555555555,5.330692585711932,0.12383993561787428
