,total,total,Avg DC,Avg DC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
dc_bin,,,,,,,
q1,20.29903536977492,6313,2.24,11.363636363636363,8.33333333333333,6.4788985237818295,0.15982302799636178
q2,21.732258064516127,6737,11.363636363636363,13.666666666666666,8.33333333333333,6.72826200880453,0.16066663313855692
q3,37.41935483870968,11600,13.666666666666666,16.25,8.33333333333333,6.791778484786957,0.12359775705050162
q4,30.60967741935484,9489,16.25,33.75,8.33333333333333,7.5212675272351985,0.15133413007155547
