,total,total,Avg CC,Avg CC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
cc_bin,,,,,,,
q1,21.043076923076924,6839,0.0534866357812224,0.0982428472238039,5.0,5.490982639543952,0.1301397116465577
q2,31.22530864197531,10117,0.0982445893544394,0.1088429798208577,5.26315789473684,5.404089541040281,0.10530590689997402
q3,31.962962962962962,10356,0.1088900728227208,0.12023945123865,5.26315789473684,5.208258686397802,0.10031193254427923
q4,23.02769230769231,7484,0.1203547224668395,0.1790589688895963,5.26315789473684,5.456652952540357,0.12362762186894939
