,total,total,Avg CC,Avg CC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
cc_bin,,,,,,,
q1,18.531007751937985,4781,0.027049598451192,0.0664664570998257,7.69230769230769,7.223633521029013,0.20476343393495594
q2,38.96498054474708,10014,0.0665065970409872,0.0769113354533478,7.14285714285714,6.441896609676386,0.12617288342199848
q3,35.4863813229572,9120,0.0769789499245083,0.0864397832338491,7.14285714285714,6.662167261951973,0.13673326497271682
q4,20.949612403100776,5405,0.0865312129080219,0.121171559903651,7.14285714285714,5.821502171458832,0.1552005607293647
