,total,total,Avg CC,Avg CC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
cc_bin,,,,,,,
q1,20.305466237942124,6315,0.0104279818835708,0.0520464853681227,8.33333333333333,6.257397757264939,0.15433454861649237
q2,21.806451612903224,6760,0.0520819333284212,0.0606015021878308,8.33333333333333,6.80191922195049,0.16214896967543876
q3,49.906451612903226,15471,0.0606323737154178,0.0687458734730519,8.33333333333333,6.8515872352879805,0.10796626308471319
q4,18.04193548387097,5593,0.0687495349713939,0.1030625325139373,8.33333333333333,7.55818811733152,0.19808489457064538
