,total,total,Avg CC,Avg CC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
cc_bin,,,,,,,
q1,22.323809523809523,4688,0.0666969757738442,0.1170153178810022,18.18181818181818,9.376331106771483,0.2684078449094427
q2,22.272727272727273,4655,0.1170153439319601,0.1293542929802303,20.0,9.937019087277514,0.28546466109850377
q3,23.464114832535884,4904,0.1293926960148891,0.140884650582534,20.0,9.358046057304243,0.2619184059412487
q4,21.492822966507177,4492,0.1409106578429026,0.1773635017854701,20.0,8.793345614655074,0.2571522571073548
