,total,total,Avg CC,Avg CC,LMICs_perc,LMICs_perc,lmic_ci
,mean,sum,min,max,median,std,
cc_bin,,,,,,,
q1,20.12786259541985,10547,0.0566792992679071,0.101143350975475,16.66666666666666,9.221635807697176,0.17599469004914564
q2,32.29389312977099,16922,0.1011773507003671,0.1120708029427794,17.24137931034483,8.766909624371134,0.13209207290262054
q3,23.30916030534351,12214,0.1120949845726177,0.1220100744675033,16.66666666666666,8.833251642367056,0.15665624641517734
q4,19.84732824427481,10400,0.1220410127658686,0.1716559819254012,16.66666666666666,8.693596815398376,0.16708555157278432
