,total,total,total,LMICs_perc,LMICs_perc,LMICs_perc,avg_bc,avg_bc,bc_ci,total_ci
,mean,std,sum,min,max,mean,mean,std,,
bc_bin,,,,,,,,,,
q1,20.580952380952382,15.544214420788338,4322,0.0,13.63636363636363,8.688956764899316,45954.354463358264,76456.71448680443,2279.446070014935,0.4634282117766211
q2,25.076555023923444,17.059394986512622,5241,13.63636363636363,19.51219512195122,16.76109588798828,59076.31917027899,76406.61851851594,2068.6164374166106,0.46186240885572905
q3,24.63157894736842,19.635700362985254,5148,19.51219512195122,25.53191489361702,22.473968327948725,52174.2595818847,70898.55398475067,1936.7527434996018,0.5363931196216984
q4,19.272727272727273,8.276895130844233,4028,25.92592592592592,58.333333333333336,32.28460882087,50011.95983608986,63975.4152440822,1975.7157130712808,0.25561056076091315
