,total,total,total,LMICs_perc,LMICs_perc,LMICs_perc,avg_bc,avg_bc,bc_ci,total_ci
,mean,std,sum,min,max,mean,mean,std,,
bc_bin,,,,,,,,,,
q1,18.453488372093023,7.232638372186281,4761,0.0,3.33333333333333,0.28392197301900757,68158.6125184349,146993.26415088348,4175.460836749734,0.20544885810847985
q2,23.591439688715955,13.081191944346092,6063,3.33333333333333,7.14285714285714,5.4885895601191015,63497.84810780082,84110.29847285134,2117.1979331356756,0.3292756422266173
q3,50.673151750972764,252.73318861581734,13023,7.14285714285714,11.11111111111111,8.984796770149293,63828.6141960698,97274.39342451753,1670.7023459169407,4.340730548365369
q4,21.213178294573645,9.852467188653605,5473,11.11111111111111,45.454545454545446,16.782516958681544,55731.935692381485,90333.77965128937,2393.280097257798,0.26102875051297164
