,total,total,total,LMICs_perc,LMICs_perc,LMICs_perc,avg_bc,avg_bc,bc_ci,total_ci
,mean,std,sum,min,max,mean,mean,std,,
bc_bin,,,,,,,,,,
q1,18.942748091603054,8.547950728075936,9926,0.0,11.11111111111111,6.609597259650216,134190.2484028777,238897.60775233578,4699.814716210731,0.16816319344186786
q2,24.751908396946565,16.067362266229946,12970,11.11111111111111,16.66666666666666,14.324929549231515,133633.59697745836,176669.26618358982,3040.514567148515,0.2765226237785908
q3,31.520992366412212,113.85936756113881,16517,16.66666666666666,23.07692307692307,19.532829820132854,154736.0786125665,385102.5927135501,5873.093697484626,1.7364378912928078
q4,20.362595419847327,9.952574622964496,10670,23.07692307692307,55.55555555555556,29.138097279799837,120195.62412976072,203284.38470696396,3857.2508305550077,0.18884665827101957
