,total,total,total,LMICs_perc,LMICs_perc,LMICs_perc,avg_bc,avg_bc,bc_ci,total_ci
,mean,std,sum,min,max,mean,mean,std,,
bc_bin,,,,,,,,,,
q1,19.723472668810288,8.86606772667162,6134,0.0,4.76190476190476,1.068818079402731,114142.75872810642,202162.6840252872,5059.238817375862,0.22187850451495658
q2,32.3741935483871,203.97000377179955,10036,4.76190476190476,8.33333333333333,6.489096026695557,85095.4134180215,131607.0861576786,2574.868289564449,3.9906353834557957
q3,38.99677419354839,298.6667406927544,12089,8.33333333333333,13.33333333333333,10.46341388255744,93161.69672608735,146576.76569708996,2612.9194222107017,5.324118893011968
q4,18.967741935483872,7.2508625576290795,5880,13.33333333333333,41.66666666666667,18.446551648073214,87981.94921790183,138094.5828772609,3529.7508451866483,0.1853348459285423
