,total,total,total,LMICs_perc,LMICs_perc,LMICs_perc,avg_bc,avg_bc,bc_ci,total_ci
,mean,std,sum,min,max,mean,mean,std,,
bc_bin,,,,,,,,,,
q1,18.344615384615384,6.773086508727085,5962,0.0,0.0,0.0,94506.16244045974,271178.83806594915,6883.6040441589175,0.1719280383949925
q2,34.611111111111114,92.44703947860707,11214,0.0,5.26315789473684,3.055467316871713,98549.6286267097,151770.7539450618,2809.0785728173705,1.7110740440398682
q3,33.57716049382716,103.67547412453101,10879,5.26315789473684,8.57142857142857,6.908007985268329,93279.12514945948,135342.39291035268,2543.2873649927924,1.9482182761110882
q4,20.74153846153846,9.190086115538643,6741,8.695652173913041,36.36363636363636,12.96871148665285,74634.31883953704,117819.14279340928,2812.6116185028386,0.21938831305986664
